Ticket_ID,Issue_Category,Priority,Status,Created_Date,Resolved_Date,SLA_Hours,Assigned_Agent,Department,User_Rating,Branch,Resolution_Time_Hours,SLA_Status,Agent_Id,Agent_Name,,
TKT-107270,Login Issue,Critical,Resolved,09-10-2023,11-10-2023,36,AGN-185,IT,3,Bangalore,2.010223209,Met,AGN-185,Ravi,,Agent_20
TKT-100860,Login Issue,Medium,Resolved,06-09-2023,07-09-2023,36,AGN-191,Operations,1,Bangalore,8.518559022,Met,AGN-191,Anita,,Agent_20
TKT-105390,Login Issue,Critical,In Progress,09-04-2023,09-04-2023,36,AGN-119,Support,2,Bangalore,12.80906604,Met,AGN-119,Suresh,,Agent_4
TKT-105191,Software Bug,Low,In Progress,15-10-2023,18-10-2023,36,AGN-108,IT,5,Bangalore,28.19645689,Met,AGN-108,Priya,,Agent_2
TKT-105734,Hardware Failure,Critical,Resolved,12-11-2023,18-11-2023,36,AGN-192,HR,2,Bangalore,7.792841083,Met,AGN-192,Karthik,,Agent_6
TKT-106265,Email Problem,Critical,Resolved,09-04-2023,16-04-2023,36,AGN-134,IT,4,Bangalore,12.44002713,Met,AGN-134,Neha,,Agent_10
TKT-100466,System Crash,Low,In Progress,04-07-2023,08-07-2023,36,AGN-137,Operations,4,Bangalore,5.392423543,Met,AGN-137,Rahul,,Agent_18
TKT-104426,Hardware Failure,Medium,Open,31-10-2023,08-11-2023,36,AGN-168,Support,4,Bangalore,9.068509409,Met,AGN-168,Pooja,,Agent_20
TKT-105578,Network Issue,Critical,In Progress,06-07-2023,06-07-2023,36,AGN-141,Finance,4,Bangalore,11.58602635,Met,AGN-141,Arjun,,Agent_17
TKT-108322,Email Problem,High,Open,22-01-2023,26-01-2023,36,AGN-159,HR,3,Bangalore,63.10575358,Breached,AGN-159,Meena,,Agent_3
TKT-101685,Email Problem,Critical,Resolved,21-08-2023,26-08-2023,36,AGN-155,Operations,1,Bangalore,77.67079024,Breached,AGN-155,Vijay,,Agent_13
TKT-100769,Login Issue,High,Open,28-04-2023,06-05-2023,36,AGN-157,Support,4,Bangalore,28.14102387,Met,AGN-157,Sneha,,Agent_3
TKT-106949,Performance Issue,Medium,In Progress,04-09-2023,11-09-2023,36,AGN-108,IT,1,Bangalore,2.898843165,Met,AGN-158,Amit,,Agent_15
TKT-102433,Login Issue,Medium,Open,11-12-2023,13-12-2023,36,AGN-170,Operations,3,Bangalore,27.60472473,Met,AGN-170,Divya,,Agent_20
TKT-105311,Hardware Failure,High,In Progress,26-04-2023,03-05-2023,36,AGN-116,IT,3,Bangalore,20.88200088,Met,AGN-116,Manoj,,Agent_13
TKT-105051,System Crash,Critical,Resolved,13-01-2023,21-01-2023,36,AGN-201,HR,1,Bangalore,9.458807094,Met,AGN-201,Ravi,,Agent_11
TKT-106420,Network Issue,High,Resolved,08-03-2023,12-03-2023,36,AGN-154,Support,1,Bangalore,8.335930351,Met,AGN-154,Anita,,Agent_8
